id,console-name,product-name,loose-price,cib-price,genre
40438,Playstation 4,.hack GU Last Recode,$10.52,$12.23,RPG
78458,Playstation 4,1001 Spikes,$117.39,$135.00,Platformer
156285,Playstation 4,13 Sentinels: Aegis Rim,$25.39,$29.22,Action & Adventure
156291,Playstation 4,13 Sentinels: Aegis Rim [Artbook Bundle],$44.61,$49.99,Action & Adventure
416317,Playstation 4,1971 Project Helios,$9.71,$10.40,Strategy
42288,Playstation 4,2064: Read Only Memories,$20.00,$25.35,Action & Adventure
45136,Playstation 4,25th Ward: Silver Case,$19.00,$35.00,Action & Adventure
45137,Playstation 4,25th Ward: Silver Case [Limited Edition],$46.41,$54.61,Action & Adventure
58125,Playstation 4,3D Billiards & Snooker,$9.00,$10.50,Sports
58124,Playstation 4,3D Mini Golf,$9.00,$18.77,Golf
53893,Playstation 4,428 Shibuya Scramble,$34.34,$39.49,Visual Novel
36692,Playstation 4,7 Days to Die,$21.23,$22.26,Horror
52705,Playstation 4,8 to Glory,$8.99,$9.99,Sports
54280,Playstation 4,8-Bit Adventure Anthology,$27.95,$42.00,Action & Adventure
50753,Playstation 4,8-Bit Armies,$9.25,$9.74,Action & Adventure
54478,Playstation 4,8-Bit Armies [Limited Edition],$17.66,$20.31,Action & Adventure
2772941,Playstation 4,8-Bit Hordes,,,Action & Adventure
70989,Playstation 4,8-Bit Invaders,$14.21,$16.16,Action & Adventure
40297,Playstation 4,88 Heroes,$11.39,$13.06,Action & Adventure
58380,Playstation 4,A Hole New World,$27.85,$32.03,Action & Adventure
58400,Playstation 4,A Plague Tale: Innocence,$17.81,$18.00,Action & Adventure
45686,Playstation 4,A Way Out,$29.85,$37.80,Action & Adventure
62380,Playstation 4,A-Train Exp,$34.00,$45.75,Simulation
2254206,Playstation 4,A-Train Express +,$30.10,$34.61,Simulation
68995,Playstation 4,ADK Damashii,$39.12,$44.99,Arcade
91541,Playstation 4,ADK Damashii [Classic Edition],$84.18,$85.71,Fighting
63948,Playstation 4,AI: The Somnium Files,$44.89,$74.00,Visual Novel
64002,Playstation 4,AI: The Somnium Files [Special Agent Edition],$77.83,$89.50,Action & Adventure
141589,Playstation 4,AO Tennis 2,$17.60,$19.99,Sports
40447,Playstation 4,ATV Drift & Tricks,$10.69,$13.07,Racing
53765,Playstation 4,ATV Drift & Tricks [Definitive Edition],$12.25,$12.92,Racing
37416,Playstation 4,ATV Renegades,$11.55,$13.23,Racing
69365,Playstation 4,AVICII Invector,$7.20,$8.96,Action & Adventure
50703,Playstation 4,Aaero,$23.53,$27.06,Action & Adventure
42296,Playstation 4,Absolute Drift Zen Edition,$18.00,$18.06,Racing
42289,Playstation 4,Absolver,$20.00,$27.50,Action & Adventure
47014,Playstation 4,Absolver [Collector's Edition],$68.34,$78.59,Action & Adventure
37242,Playstation 4,Abzu,$15.75,$17.74,Action & Adventure
66864,Playstation 4,Accounting +,$22.49,$23.65,Action & Adventure
65255,Playstation 4,Accounting + [Tree Guy Edition],$63.83,$70.00,Action & Adventure
105337,Playstation 4,Accounting+ [Best Buy Edition],$27.72,$29.98,Action & Adventure
53995,Playstation 4,Ace Combat 7 Skies Unknown,$10.00,$14.86,Simulation
50697,Playstation 4,Ace of Seafood,$21.80,$23.95,Action & Adventure
54996,Playstation 4,Aces of The Luftwaffe Squadron,$12.15,$13.97,Simulation
53691,Playstation 4,Adam's Venture: Origins,$29.99,$32.81,Action & Adventure
36129,Playstation 4,Adventure Time: Finn and Jake Investigations,$9.55,$11.49,Action & Adventure
47069,Playstation 4,Adventure Time: Pirates of the Enchiridion,$8.00,$9.71,Action & Adventure
65041,Playstation 4,Aegis Defenders,$21.98,$25.26,Platformer
37448,Playstation 4,Aegis of Earth: Protonovus Assault,$8.09,$11.30,Strategy
38064,Playstation 4,Aerea Collector's Edition,$8.07,$9.30,RPG
67374,Playstation 4,AeternoBlade II,$14.77,$18.74,Action & Adventure
2252600,Playstation 4,Afterparty,$45.25,$49.99,Action & Adventure
